FileName,URI
WEXF16_StudentFiles.zip,https://onlcsetup.blob.core.windows.net/setupfiles/WEXF16_StudentFiles.zip
BPQM01_StudentFiles.zip,https://onlcsetup.blob.core.windows.net/setupfiles/BPQM01_StudentFiles.zip
BPBEX1_StudentFiles.zip,https://onlcsetup.blob.core.windows.net/setupfiles/BPBEX1_StudentFiles.zip
Desktop_BIData.zip,https://onlcsetup.blob.core.windows.net/setupfiles/Desktop_BIData.zip
PBIDesktop-2-97.zip,https://onlcsetup.blob.core.windows.net/setupfiles/Setup_ANY_Installers_PBIDesktop-2-97.zip
